Rk,Player,Pos,Age,Tm,MP,FG,FGA,FG%,TRB,AST,STL,BLK,PTS,STARS
209,James Ennis,SF,29,ORL,18.3,2.3,5.2,0.446,3.6,0.9,0.5,0.3,6.6,3
210,T.J. McConnell,PG,27,IND,18.7,3,5.8,0.516,2.7,5,0.8,0.2,6.5,3
211,Kevin Knox,SF,20,NYK,17.9,2.2,6.2,0.359,2.8,0.9,0.4,0.4,6.4,3
212,Cory Joseph,PG,28,SAC,24.4,2.4,5.7,0.415,2.6,3.5,0.7,0.3,6.4,3
213,Lonnie Walker,SG,21,SAS,16.2,2.5,5.9,0.426,2.3,1.1,0.5,0.2,6.4,3
214,Trey Lyles,PF,24,SAS,20.2,2.4,5.4,0.446,5.7,1.1,0.4,0.4,6.4,3
215,Frank Jackson,PG,21,NOP,13.5,2.3,5.6,0.405,1.4,1,0.3,0.1,6.3,3
216,Frank Ntilikina,PG,21,NYK,20.8,2.3,5.8,0.393,2.1,3,0.9,0.3,6.3,3
217,Abdel Nader,SF,26,OKC,15.8,2.2,4.8,0.468,1.8,0.7,0.4,0.4,6.3,3
218,Marco Belinelli,SG,33,SAS,15.5,2.2,5.5,0.392,1.7,1.2,0.2,0,6.3,3
219,Royce O'Neale,PF,26,UTA,28.9,2.2,5.1,0.433,5.5,2.5,0.8,0.5,6.3,3
220,Taj Gibson,C,34,NYK,16.5,2.7,4.6,0.584,4.3,0.8,0.4,0.5,6.1,3
221,Mike Scott,PF,31,PHI,17.8,2.2,5.1,0.426,3.6,0.8,0.3,0.1,6,3
222,Marvin Williams,PF,33,MIL,19.5,2.1,4.6,0.446,3.2,1,0.6,0.5,5.9,3
223,Georges Niang,PF,26,UTA,14,2.1,4.9,0.438,1.9,0.7,0.3,0.1,5.9,3
224,Kyle Anderson,PF,26,MEM,19.9,2.3,4.9,0.474,4.3,2.4,0.8,0.6,5.8,3
225,Wesley Iwundu,SF,25,ORL,18.3,1.9,4.5,0.416,2.5,1.2,0.5,0.3,5.8,3
226,Maurice Harkless,SF,26,NYK,23,2.3,4.6,0.502,3.9,1.1,0.9,0.5,5.8,3
227,Damian Jones,C,24,ATL,16.1,2.2,3.2,0.68,3.7,0.6,0.5,0.7,5.6,3
228,Darius Bazley,PF,19,OKC,18.5,2,5.2,0.394,4,0.7,0.4,0.7,5.6,3
229,Jakob Poeltl,C,24,SAS,17.7,2.5,4,0.624,5.7,1.8,0.6,1.4,5.6,3
230,Justin Jackson,PF,24,DAL,16.1,2.1,5.2,0.396,2.4,0.8,0.2,0.2,5.5,3
231,Alex Caruso,PG,25,LAL,18.4,1.9,4.5,0.412,1.9,1.9,1.1,0.3,5.5,3
232,Solomon Hill,SF,28,MIA,18.4,1.9,4.7,0.396,2.8,1.8,0.7,0.2,5.5,3
233,Torrey Craig,SF,29,DEN,18.5,2.1,4.6,0.461,3.3,0.8,0.4,0.6,5.4,3
234,Robin Lopez,C,31,MIL,14.5,2.2,4.5,0.492,2.4,0.7,0.2,0.7,5.4,3
235,Pat Connaughton,SG,27,MIL,18.6,2,4.5,0.455,4.2,1.6,0.4,0.5,5.4,3
236,Mo Bamba,C,21,ORL,14.2,2.1,4.6,0.462,4.9,0.7,0.4,1.4,5.4,3
237,Sterling Brown,SF,24,MIL,14.8,1.8,4.9,0.371,3.5,1,0.6,0.1,5.1,3
238,Raul Neto,PG,27,PHI,12.4,1.9,4.1,0.455,1.1,1.8,0.4,0.1,5.1,3
239,Jerome Robinson,SG,22,WAS,15.5,1.8,4.9,0.371,2,1.4,0.4,0.3,5.1,3
240,Vince Carter,SF,43,ATL,14.6,1.8,5.1,0.352,2.1,0.8,0.4,0.4,5,3
241,Cody Martin,SF,24,CHO,18.8,1.9,4.3,0.43,3.3,2,0.8,0.2,5,3
242,Isaac Bonga,SF,20,WAS,18.9,1.8,3.5,0.504,3.4,1.2,0.7,0.3,5,3
243,Patrick Patterson,PF,30,LAC,13.2,1.6,3.9,0.408,2.6,0.7,0.1,0.1,4.9,3
244,Jevon Carter,PG,24,PHO,16.3,1.7,4.2,0.416,2,1.4,0.8,0.3,4.9,3
245,Tony Bradley,C,22,UTA,11.4,2.2,3.3,0.667,4.6,0.4,0.2,0.6,4.9,3
246,Mario Hezonja,PF,24,POR,16.4,1.7,4.1,0.422,3.5,0.9,0.7,0.2,4.8,3
247,Thon Maker,C,22,DET,12.9,1.6,3.2,0.482,2.8,0.7,0.4,0.7,4.7,3
248,Matisse Thybulle,SG,22,PHI,19.8,1.7,4.1,0.423,1.6,1.2,1.4,0.7,4.7,3
249,Ryan Arcidiacono,PG,25,CHI,16,1.6,3.8,0.409,1.9,1.7,0.5,0.1,4.5,3
250,Treveon Graham,SG,26,ATL,16.9,1.6,4.4,0.36,2.7,0.8,0.4,0.1,4.4,3
251,Bruno Fernando,C,21,ATL,12.7,1.8,3.6,0.518,3.5,0.9,0.3,0.3,4.3,3
